symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-09-28 00:00:00+00:00,114.37,114.57,113.68,114.19,21647811,108.7947356038,108.9849860814,108.1383714561,108.6235101739,21647811,0.0,1.0
MSFT,2018-10-01 00:00:00+00:00,115.61,115.68,114.73,114.75,18883079,109.9742885648,110.0408762319,109.1371864634,109.1562115112,18883079,0.0,1.0
MSFT,2018-10-02 00:00:00+00:00,115.15,115.84,114.44,115.3,20787239,109.5367124663,110.193076614,108.8613232709,109.6794003245,20787239,0.0,1.0
MSFT,2018-10-03 00:00:00+00:00,115.17,116.18,114.93,115.42,16648018,109.5557375141,110.5165024259,109.327436941,109.7935506111,16648018,0.0,1.0
MSFT,2018-10-04 00:00:00+00:00,112.79,114.76,111.63,114.61,34821717,107.2917568309,109.1657240351,106.1883040609,109.0230361769,34821717,0.0,1.0
MSFT,2018-10-05 00:00:00+00:00,112.13,113.17,110.64,112.63,29068859,106.6639302549,107.6532327383,105.2465641969,107.1395564488,29068859,0.0,1.0
MSFT,2018-10-08 00:00:00+00:00,110.85,112.03,109.34,111.66,29640588,105.4463271984,106.5688050161,104.0099360926,106.2168416326,29640588,0.0,1.0
MSFT,2018-10-09 00:00:00+00:00,112.26,113.08,110.8,111.14,26198594,106.7875930653,107.5676200234,105.398764579,105.7221903909,26198594,0.0,1.0
MSFT,2018-10-10 00:00:00+00:00,106.16,111.5,105.79,111.24,61376300,100.9849534991,106.0646412505,100.6329901156,105.8173156297,61376300,0.0,1.0
MSFT,2018-10-11 00:00:00+00:00,105.91,108.93,104.2,105.35,63904282,100.7471404022,103.6199226136,99.1204988189,100.2144390649,63904282,0.0,1.0
MSFT,2018-10-12 00:00:00+00:00,109.57,111.24,107.12,109.01,47742109,104.2287241419,105.8173156297,101.8981557915,103.6960228046,47742109,0.0,1.0
MSFT,2018-10-15 00:00:00+00:00,107.6,109.48,106.95,108.91,32068103,102.3547569377,104.143111427,101.7364428856,103.6008975659,32068103,0.0,1.0
MSFT,2018-10-16 00:00:00+00:00,111.0,111.41,108.95,109.54,31610164,105.5890150566,105.9790285356,103.6389476614,104.2001865702,31610164,0.0,1.0
MSFT,2018-10-17 00:00:00+00:00,110.71,111.81,109.55,111.68,26548243,105.3131518641,106.3595294908,104.2096990941,106.2358666803,26548243,0.0,1.0
